lin_ima,can_id,can_nam,can_off,can_off_sta,can_off_dis,can_par_aff,can_inc_cha_ope_sea,can_str1,can_str2,can_cit,can_sta,can_zip,ind_ite_con,ind_uni_con,ind_con,par_com_con,oth_com_con,can_con,tot_con,tra_fro_oth_aut_com,can_loa,oth_loa,tot_loa,off_to_ope_exp,off_to_fun,off_to_leg_acc,oth_rec,tot_rec,ope_exp,exe_leg_acc_dis,fun_dis,tra_to_oth_aut_com,can_loa_rep,oth_loa_rep,tot_loa_rep,ind_ref,par_com_ref,oth_com_ref,tot_con_ref,oth_dis,tot_dis,cas_on_han_beg_of_per,cas_on_han_clo_of_per,net_con,net_ope_exp,deb_owe_by_com,deb_owe_to_com,cov_sta_dat,cov_end_dat
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX12074&tabIndex=1,H8TX12074,"ADIA, VANESSA MICHELLE",H,TX,12,DEM,CHALLENGER,7505 BUNKER CT,,BENBROOK,TX,76126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-15,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA31125&tabIndex=1,H2CA31125,"AGUILAR, PETE",H,CA,31,DEM,INCUMBENT,PO BOX 10954,,SAN BERNARDINO,CA,92423,"$288,410.00","$84,823.84","$373,233.84",,"$138,450.00",,"$511,683.84",,,,,"$1,465.04",,,,"$513,148.88","$92,079.74",,,,,,,"$3,663.00",,,"$3,663.00","$2,925.85","$98,668.59","$950,772.97","$1,365,253.26","$508,020.84","$90,614.70",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA34217&tabIndex=1,H8CA34217,"AHN, JASON DR.",H,CA,34,DEM,OPEN,163 SOUTH KINGSLEY DRIVE,,LOS ANGELES,CA,90004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8WA08114&tabIndex=1,H8WA08114,"AHN, POGA",H,WA,8,DEM,CHALLENGER,PO BOX 9100,,SEATTLE,WA,98109,,$866.80,$866.80,,,,$866.80,,,,,,,,,$866.80,$40.01,,,,,,,,,,,,$40.01,,$826.79,$866.80,$40.01,"$3,113.34",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA34258&tabIndex=1,H8CA34258,"AHN, ROBERT LEE",H,CA,34,DEM,OPEN,3700 W. OLYMPIC BLVD.,#202,LOS ANGELES,CA,90019,"$515,946.92",,"$515,946.92",,"$2,700.00","$8,400.00","$527,046.92",,"$295,000.00",,"$295,000.00",,,,,"$822,046.92","$767,315.21",,,,,,,$100.00,,,$100.00,,"$767,415.21",,"$54,881.71","$526,946.92","$767,315.21","$354,790.66",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2MO00429&tabIndex=1,S2MO00429,"AKIN, W TODD",S,MO,0,REP,CHALLENGER,PO BOX 31222,,ST LOUIS,MO,63131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8MN01246&tabIndex=1,H8MN01246,"AKZAM, JOHNNY ALAN",H,MN,1,IND,,2414 30TH AVE NW APT C,,ROCHESTER,MN,55901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA37301&tabIndex=1,H8CA37301,"ALEMAYHU, TED MESFIN MR.",H,CA,37,AIP,CHALLENGER,3281 SAWTELLE BLVD,#106,LOS ANGELES,CA,90066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8GA07144&tabIndex=1,H8GA07144,"ALLEN, KATHLEEN",H,GA,7,DEM,,297 LONGVIEW DRIVE,,NORCROSS,GA,30071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8UT03139&tabIndex=1,H8UT03139,"ALLEN, KATHRYN MD",H,UT,3,DEM,OPEN,7641 S. QUICKSILVER DRIVE,,COTTONWOOD HEIGHTS,UT,84121,"$66,329.13","$497,762.68","$564,091.81",,,,"$564,091.81",,,,,,,,,"$564,091.81","$26,900.44",,,,,,,"$2,912.55",,,"$2,912.55",,"$29,812.99",,"$534,278.82","$561,179.26","$26,900.44",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2GA12121&tabIndex=1,H2GA12121,"ALLEN, RICHARD W",H,GA,12,REP,INCUMBENT,2237 PICKENS RD,,AUGUSTA,GA,30904,"$24,800.00","$4,115.00","$28,915.00",,"$85,000.00",,"$113,915.00",,,,,$276.50,,,,"$114,191.50","$49,215.69",,,,,,,,,,,,"$49,215.69","$105,396.40","$170,372.21","$113,915.00","$48,939.19","$1,125,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8VA07060&tabIndex=1,H8VA07060,"ALLI, HELEN",H,VA,7,DEM,CHALLENGER,PO BOX 2661,,MIDLOTHIAN,VA,23113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX32098&tabIndex=1,H8TX32098,"ALLRED, COLIN",H,TX,32,DEM,CHALLENGER,PO BOX 601631,,DALLAS,TX,75360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA34340&tabIndex=1,H8CA34340,"ALVAREZ, SIMON MARK",H,CA,34,REP,CHALLENGER,1626 N. WILCOX AVE #322,,HOLLYWOOD,CA,90028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0MI03126&tabIndex=1,H0MI03126,"AMASH, JUSTIN",H,MI,3,REP,INCUMBENT,1500 E BELTLINE AVE SE STE 250,,GRAND RAPIDS,MI,49506,"$19,460.00","$6,032.36","$25,492.36",,,,"$25,492.36",,,,,,,,,"$25,492.36","$85,833.75",,,,,,,,,,,,"$85,833.75","$217,637.24","$157,295.85","$25,492.36","$85,833.75",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4AS00036&tabIndex=1,H4AS00036,"AMATA, AUMUA",H,AS,0,REP,INCUMBENT,P.O. BOX 6171,,PAGO PAGO,AS,96799,,,,,,,,,,,,,,,,,"$2,087.50",,,,,,,,,,,,"$2,087.50","$2,099.17",$11.67,,"$2,087.50",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2NV02395&tabIndex=1,H2NV02395,"AMODEI, MARK EUGENE",H,NV,2,REP,INCUMBENT,805 W SUNSET,,CARSON CITY,,89703,"$6,000.00",$355.00,"$6,355.00",,"$38,000.00",,"$44,355.00",,,,,,,,,"$44,355.00","$85,365.69",,,,,,,,,,,,"$85,365.69","$145,196.51","$104,185.82","$44,355.00","$85,365.69","$9,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8PA12077&tabIndex=1,H8PA12077,"ANTHONY, AARON",H,PA,12,DEM,CHALLENGER,P.O. BOX 179,,GLENSHAW,PA,15116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA49102&tabIndex=1,H6CA49102,"APPLEGATE, DOUGLAS LOREN",H,CA,49,DEM,CHALLENGER,PO BOX 579,,VISTA,CA,92085,"$71,143.50","$45,204.87","$116,348.37",,,,"$116,348.37",,,,,$428.86,,,$303.69,"$117,080.92","$75,879.48",,,,,,,"$11,868.12",,,"$11,868.12",,"$87,747.60","$63,142.53","$92,475.85","$104,480.25","$75,450.62","$5,397.40",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA34252&tabIndex=1,H6CA34252,"ARAMAYO, VANESSA",H,CA,34,DEM,OPEN,2112 1/2 COLORADO BOULEVARD # 7,,LOS ANGELES ,CA,90041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX19099&tabIndex=1,H6TX19099,"ARRINGTON, JODEY COOK",H,TX,19,REP,INCUMBENT,4407 13TH ST,,LUBBOCK,TX,79416,"$58,199.90","$4,395.00","$62,594.90",,"$38,974.54",,"$101,569.44",,,,,$377.22,,,,"$101,946.66","$70,431.98",,,,,,,,,,,,"$70,431.98","$256,386.47","$287,901.15","$101,569.44","$70,054.76",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IL16088&tabIndex=1,H8IL16088,"ARROYAVE, NATHAN",H,IL,16,DEM,CHALLENGER,2237 SILVERTHORN DR,,ROCKFORD,IL,61107,,$320.00,$320.00,,,,$320.00,,,,,,,,,$320.00,,,,,,,,,,,,$8.72,$8.72,,$311.28,$320.00,,,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8KS04153&tabIndex=1,H8KS04153,"ASHBY, JOSEPH",H,KS,4,REP,OPEN,2201 E WALNUT CREEK CT,,DERBY,KS,67037,"$2,500.00","$1,615.00","$4,115.00",,,$1.71,"$4,116.71",,"$1,746.00",,"$1,746.00",,,,,"$5,862.71","$1,647.71",,,,,,,"$2,469.00",,,"$2,469.00",,"$4,116.71",$100.00,"$1,846.00","$1,647.71","$1,647.71","$1,746.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8MA00268&tabIndex=1,S8MA00268,"AYYADURAI, SHIVA DR",S,MA,0,REP,CHALLENGER,701 CONCORD AVENUE,,CAMBRIDGE,MA,2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX02079&tabIndex=1,H6TX02079,"BABIN, BRIAN",H,TX,36,REP,INCUMBENT,PO BOX 159,,WOODVILLE,TX,75979,"$64,666.00","$3,718.50","$68,384.50",,"$41,000.00",,"$109,384.50",,,,,,,,,"$109,384.50","$52,998.11",,,,,,,"$2,700.00",,,"$2,700.00","$4,400.00","$60,098.11","$554,184.94","$603,471.33","$106,684.50","$52,998.11",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6NE02125&tabIndex=1,H6NE02125,"BACON, DONALD J",H,NE,2,REP,INCUMBENT,PO BOX 391368,,OMAHA,NE,681391368,"$117,100.00","$6,526.64","$123,626.64",,"$105,884.54","$1,349.18","$230,860.36",,,,,,,,,"$230,860.36","$73,559.01",,,,,,,,,,,,"$73,559.01","$30,736.02","$188,037.37","$230,860.36","$73,559.01","$35,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX07082&tabIndex=1,H8TX07082,"BALAT, DAVID",H,TX,7,REP,CHALLENGER,5006 IMOGENE ST.,,HOUSTON,TX,77096,"$9,720.28","$1,415.00","$11,135.28",,,,"$11,135.28",,"$50,000.00",,"$50,000.00",,,,$0.01,"$61,135.29","$8,520.56",,,,,,,,,,,,"$8,520.56",,"$52,614.73","$11,135.28","$8,520.56","$50,000.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S2WI00219&tabIndex=1,S2WI00219,"BALDWIN, TAMMY",S,WI,0,DEM,INCUMBENT,,,MADISON,WI,,"$991,655.00","$1,085,706.00","$2,077,361.00",,"$138,050.00",,"$2,215,411.00","$39,000.00",,,,$257.00,,,,"$2,254,668.00","$802,166.00",,,,,,,"$18,802.00",,,"$18,802.00",,"$820,969.00","$1,089,919.00","$2,523,619.00","$2,196,608.00","$801,909.00",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6IN03229&tabIndex=1,H6IN03229,"BANKS, JAMES E",H,IN,3,REP,INCUMBENT,238 S EAGLE GLEN TRL,,COLUMBIA CITY,IN,467257532,"$56,330.00","$20,635.63","$76,965.63",,"$44,703.61",,"$121,669.24",,,,,,,,$89.41,"$121,758.65","$107,534.51",,,,,,,$200.00,,,$200.00,"$20,000.00","$127,734.51","$144,259.61","$138,283.75","$121,469.24","$107,534.51","$39,818.18",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA34100&tabIndex=1,H8CA34100,"BARAJAS, RAMON MR. III",H,CA,34,REP,CHALLENGER,2806 WEST AVE 34,,LOS ANGELES,CA,90065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2CA00096&tabIndex=1,H2CA00096,"BARKLEY, MICHAEL JAMES",H,CA,10,DEM,CHALLENGER,167 N SHERIDAN AVE,,MANTECA,CA,95336,,$354.74,$354.74,,,,$354.74,,"$2,135.15",,"$2,135.15",,,,"$32,405.37","$34,895.26","$2,196.15",,,,,,,,,,,,"$2,196.15","-$32,074.07",$625.04,$354.74,"$2,196.15","$34,600.69",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2PA11098&tabIndex=1,H2PA11098,"BARLETTA, LOU",H,PA,11,REP,INCUMBENT,P.O. BOX 128,,HAZLETON,PA,18201,"$64,798.76","$6,617.00","$71,415.76",,"$82,022.13",,"$153,437.89","$10,000.00",,,,,,,,"$163,437.89","$120,093.24",,,,"$4,300.00",,"$4,300.00",,,,,"$100,600.00","$224,993.24","$402,910.61","$341,355.26","$153,437.89","$120,093.24","$102,720.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8TX03081&tabIndex=1,H8TX03081,"BARONE, ROGER",H,TX,3,REP,OPEN,4408 BUCHAAN DRIVE,,PLANO,TX,75024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8AZ09016&tabIndex=1,H8AZ09016,"BARONESS VON BEHR, IRINA",H,AZ,9,REP,CHALLENGER,92 EAST CALLE DE ARCOS,,TEMPE,AZ,85284,,,,,,,,,$564.24,,$564.24,,,,,$564.24,$171.64,,,,,,,,,,,,$171.64,,$392.60,,$171.64,$564.24,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0KY06104&tabIndex=1,H0KY06104,"BARR, GARLAND ANDY",H,KY,6,REP,INCUMBENT,PO BOX 2059,,LEXINGTON,KY,405880588,"$217,579.00","$5,331.00","$222,910.00",,"$173,337.38",,"$396,247.38","$6,795.48",,,,"$2,643.19",,,$4.93,"$405,690.98","$88,506.88",,,,,,,"$8,900.00",,,"$8,900.00",,"$97,406.88","$476,579.15","$784,863.25","$387,347.38","$85,863.69",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA44103&tabIndex=1,H6CA44103,"BARRAGAN, NANETTE",H,CA,44,DEM,INCUMBENT,1840 SOUTH GAFFEY STREET,#421,SAN PEDRO,CA,90731,"$174,385.00","$30,691.18","$205,076.18",,"$83,500.00",,"$288,576.18",,,,,$201.10,,,,"$288,777.28","$63,557.05",,,"$5,000.00",,,,$290.52,,,$290.52,,"$68,847.57","$13,565.65","$233,495.36","$288,285.66","$63,355.95","$10,500.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S6WY00068&tabIndex=1,S6WY00068,"BARRASSO, JOHN A",S,WY,0,REP,INCUMBENT,6896 CASPER MOUNTAIN ROAD,,CASPER,WY,82601,"$562,425.00","$16,657.00","$579,082.00",,"$597,320.00",,"$1,176,402.00",,,,,,,,$701.00,"$1,177,103.00","$182,343.00",,,,,,,"$8,700.00",,"$8,500.00","$17,200.00",,"$199,543.00","$2,749,487.00","$3,727,047.00","$1,159,202.00","$182,343.00",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6TX18141&tabIndex=1,H6TX18141,"BARTLEY, LORI ANITA MRS.",H,TX,18,IND,CHALLENGER,3102 FALLBROOK DRIVE,PMB #47,HOUSTON,TX,77038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$124,791.61",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H4TX06117&tabIndex=1,H4TX06117,"BARTON, JOE LINUS",H,TX,6,REP,INCUMBENT,701 WILLIAMSBURG,,ENNIS,TX,75119,"$62,615.00","$2,390.00","$65,005.00",,"$31,000.00",,"$96,005.00",,,,,"$1,148.58",,,"$17,103.79","$114,257.37","$164,905.19",,,,"$5,833.34",,"$5,833.34",,,,,,"$170,738.53","$421,386.29","$364,905.13","$96,005.00","$163,756.61","$89,191.66",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=S8PA00262&tabIndex=1,S8PA00262,"BARTOS, JEFFREY A",S,PA,0,REP,,239 WINDING WAY,,MERION STATION,PA,19066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H0CA33117&tabIndex=1,H0CA33117,"BASS, KAREN",H,CA,37,DEM,INCUMBENT,"777 S. FIGUEROA STREET, SUITE 4050",,LOS ANGELES,CA,90017,"$8,185.10","$7,942.54","$16,127.64",,"$3,500.00",,"$19,627.64",,,,,,,,,"$19,627.64","$59,410.52",,,,,,,,,,,$780.00,"$60,190.52","$245,400.89","$204,838.01","$19,627.64","$59,410.52",,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA37293&tabIndex=1,H8CA37293,"BASSILIAN, RON",H,CA,37,REP,CHALLENGER,4267 MCLAUGHLIN AVE.,APT D,LOS ANGELES,CA,90066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H6CA48245&tabIndex=1,H6CA48245,"BAUGH, SCOTT",H,CA,48,REP,CHALLENGER,6662 BLUE HERON DRIVE,,HUNTINGTON BEACH,CA,92648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$548,428.18","$548,428.18",,,,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H2OH03125&tabIndex=1,H2OH03125,"BEATTY, JOYCE",H,OH,3,DEM,INCUMBENT,1421 TAYLOR CORNERS CIRCLE,,BLACKLICK,OH,43004,"$12,850.00","$1,255.00","$14,105.00",,"$60,951.33",,"$75,056.33",,,,,"$1,193.40",,,,"$76,249.73","$84,774.22",,,,,,,,,,,,"$84,774.22","$861,592.66","$853,068.17","$75,056.33","$83,580.82","$27,500.00",,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8CA50114&tabIndex=1,H8CA50114,"BEAUREGARD, PIERRE VOTEAU",H,CA,50,DEM,,1441 MAIN STREET #255,,RAMONA,CA,92065,,$122.00,$122.00,,,,$122.00,,,,,,,,,$122.00,$0.88,,,,,,,,,,,,$0.88,,$121.12,$122.00,$0.88,$330.04,,2017-01-01,2017-03-31
http://www.fec.gov/fecviewer/CandidateCommitteeDetail.do?candidateCommitteeId=H8IN04124&tabIndex=1,H8IN04124,"BECK, TOBI",H,IN,4,DEM,,6012 YELLOW BIRCH COURT,,AVON,IN,46123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
